group,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
PennyLane high-order schema-head,qproto_chop,3,0.6020416666666667,0.06046755993068069,0.6020416666666667,2324.0
PennyLane high-order schema-head,qproto_cproto,3,0.4031666666666667,0.06087288740996884,0.4031666666666667,788.0
PennyLane high-order schema-head,fedproto_schema,3,0.284875,0.029243784436825165,0.284875,1556.0
PennyLane high-order schema-head,fedadam_schema,3,0.31645833333333334,0.021281399718065266,0.31645833333333334,1552.0
PennyLane high-order schema-head,fedavg_schema,3,0.30245833333333333,0.007992065562146754,0.30245833333333333,1552.0
PennyLane high-order schema-head,fedprox_schema,3,0.30191666666666667,0.00892685268187056,0.30191666666666667,1552.0
PennyLane high-order strong-baseline,qproto_masked_hop,3,0.5495,0.009021774237689219,0.5495,3476.0
PennyLane high-order strong-baseline,qproto_chop,3,0.6020416666666667,0.06046755993068069,0.6020416666666667,2324.0
PennyLane high-order strong-baseline,qproto_cproto,3,0.4031666666666667,0.06087288740996884,0.4031666666666667,788.0
PennyLane high-order strong-baseline,fedproto_schema,3,0.284875,0.029243784436825165,0.284875,1556.0
PennyLane high-order strong-baseline,fedproto_forced,3,0.35,0.027657446724390577,0.35000000000000003,1556.0
PennyLane high-order strong-baseline,fedadam_forced,3,0.3585833333333333,0.03728102813180234,0.3585833333333333,1552.0
PennyLane high-order strong-baseline,fedavg_forced,3,0.30604166666666666,0.10091923236209151,0.30604166666666666,1552.0
PennyLane high-order strong-baseline,fedprox_forced,3,0.30525,0.09915056115546048,0.30525,1552.0
PennyLane private-signal stress,qproto_masked,3,0.7475,0.03185746036350827,0.7394123247098646,1940.0
PennyLane private-signal stress,qproto_masked_hop,3,0.74975,0.028534425059460463,0.7415889122234217,2708.0
PennyLane private-signal stress,qproto_hop,3,0.3425416666666667,0.06231333397604461,0.33901952478770886,2324.0
PennyLane private-signal stress,qproto_proto,3,0.34208333333333335,0.06245014693843368,0.3385703369825169,1556.0
PennyLane private-signal stress,fedavg_forced,3,0.39708333333333334,0.06921703348346948,0.3762224936774974,1552.0
PennyLane private-signal stress,shared_observable,3,0.3574583333333333,0.013121406452763053,0.3468219525943502,1556.0
PennyLane private-signal stress,no_schema,3,0.40458333333333335,0.040944894090025524,0.3930170785664663,1556.0
PennyLane private-signal stress,forced_canonical,3,0.4054166666666667,0.05865578322138603,0.3932466187574658,1556.0
PennyLane private-signal stress,wrong_schema,3,0.28425,0.03819417513556826,0.2806992605108482,2324.0
Qiskit Aer noisy MNIST-4,qproto_masked,3,0.5930555555555556,0.0601548108784488,0.581598243187248,404.0
Qiskit Aer noisy MNIST-4,qproto_masked_hop,3,0.5965277777777777,0.06497175870617966,0.584986768063176,660.0
Qiskit Aer noisy MNIST-4,qproto_chop,3,0.5791666666666667,0.042601425471275225,0.5683563531497299,532.0
Qiskit Aer noisy MNIST-4,qproto_cproto,3,0.5760416666666667,0.04549029208811656,0.5655396825048843,276.0
Qiskit Aer noisy MNIST-4,qproto_hop,3,0.42951388888888886,0.23838226365359944,0.42076543147714207,788.0
Qiskit Aer noisy MNIST-4,qproto_proto,3,0.4267361111111111,0.2381574100299222,0.4179761644170416,532.0
Qiskit Aer noisy MNIST-4,fedavg_forced,3,0.3354166666666667,0.13612693471522222,0.28985576044684574,528.0
