setting,axis,value,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
MNIST-10 overlap,overlap,0.4,wrong_schema,3,0.12641666666666665,0.01745483337057821,0.1268265946328872,11564.0
MNIST-10 overlap,overlap,0.6,qproto_masked_hop,3,0.7369,0.027335976645763323,0.7323151783469785,24364.0
MNIST-10 overlap,overlap,0.6,qproto_chop,3,0.7218916666666666,0.027373721818730563,0.7170228489649044,11564.0
MNIST-10 overlap,overlap,0.6,qproto_cproto,3,0.7202583333333332,0.02911862263866535,0.715328822414337,7724.0
MNIST-10 overlap,overlap,0.6,fedadam_schema,3,0.268475,0.09889368833355952,0.2628691204971192,7720.0
MNIST-10 overlap,overlap,0.6,fedavg_schema,3,0.21916666666666668,0.19346324541542576,0.20373352940792025,7720.0
MNIST-10 overlap,overlap,0.6,fedproto_schema,3,0.2549166666666667,0.06671964003377683,0.25256995961490186,7724.0
MNIST-10 overlap,overlap,0.6,shared_observable,3,0.6733083333333334,0.019878716432957817,0.6676986867599559,7724.0
MNIST-10 overlap,overlap,0.6,no_schema,3,0.2253583333333333,0.009495961017720718,0.22314101315327187,7724.0
MNIST-10 overlap,overlap,0.6,wrong_schema,3,0.12623333333333334,0.00365350491184874,0.12665300690633655,11564.0
MNIST-10 overlap,overlap,0.8,qproto_masked_hop,3,0.752375,0.03506950499740051,0.7483013272079153,24364.0
MNIST-10 overlap,overlap,0.8,qproto_chop,3,0.7486083333333333,0.04025108698111043,0.7444035130363523,11564.0
MNIST-10 overlap,overlap,0.8,qproto_cproto,3,0.7474,0.04023396082970784,0.7433063917043189,7724.0
MNIST-10 overlap,overlap,0.8,fedadam_schema,3,0.42941666666666667,0.0844866165812537,0.4229493813072206,7720.0
MNIST-10 overlap,overlap,0.8,fedavg_schema,3,0.29705,0.2590829102714495,0.2805929796106296,7720.0
MNIST-10 overlap,overlap,0.8,fedproto_schema,3,0.42380833333333334,0.061021559875878977,0.420940560615713,7724.0
MNIST-10 overlap,overlap,0.8,shared_observable,3,0.7015833333333333,0.030613000728347658,0.6972335610708198,7724.0
MNIST-10 overlap,overlap,0.8,no_schema,3,0.22434166666666666,0.025114276608419996,0.22087547572999494,7724.0
MNIST-10 overlap,overlap,0.8,wrong_schema,3,0.126125,0.0032864705358991923,0.12691844707731845,11564.0
MNIST-10 overlap,overlap,1.0,qproto_masked_hop,3,0.7454666666666666,0.04616999582073767,0.7415142390125994,24364.0
MNIST-10 overlap,overlap,1.0,qproto_chop,3,0.745425,0.047234245816310395,0.7414591259573066,11564.0
MNIST-10 overlap,overlap,1.0,qproto_cproto,3,0.7442916666666667,0.04773172507700875,0.7403182264580954,7724.0
MNIST-10 overlap,overlap,1.0,fedadam_schema,3,0.6811916666666666,0.10432670113017728,0.6751993840630137,7720.0
MNIST-10 overlap,overlap,1.0,fedavg_schema,3,0.42519999999999997,0.24817569597595612,0.4079458199127601,7720.0
MNIST-10 overlap,overlap,1.0,fedproto_schema,3,0.7193666666666667,0.059078473232320065,0.7153438463165646,7724.0
MNIST-10 overlap,overlap,1.0,shared_observable,3,0.7183083333333333,0.05982738059092456,0.7142730313240946,7724.0
MNIST-10 overlap,overlap,1.0,no_schema,3,0.22259166666666666,0.060278018319736115,0.22031130999379436,7724.0
MNIST-10 overlap,overlap,1.0,wrong_schema,3,0.13041666666666665,0.007605264241551323,0.1312572243824138,11564.0
PennyLane high-order overlap,overlap,0.2,qproto_masked_hop,3,0.558375,0.1350080536112993,0.558375,3476.0
PennyLane high-order overlap,overlap,0.2,qproto_chop,3,0.5926666666666667,0.1446424894971171,0.5926666666666667,2324.0
PennyLane high-order overlap,overlap,0.2,qproto_cproto,3,0.38487499999999997,0.0877352005139554,0.38487499999999997,788.0
PennyLane high-order overlap,overlap,0.2,fedadam_schema,3,0.298625,0.04659376144131315,0.29862500000000003,1552.0
PennyLane high-order overlap,overlap,0.2,fedproto_schema,3,0.2800416666666667,0.04172876326400541,0.28004166666666663,1556.0
PennyLane high-order overlap,overlap,0.2,shared_observable,3,0.42525,0.10927249775391894,0.42524999999999996,1556.0
PennyLane high-order overlap,overlap,0.2,no_schema,3,0.3418333333333333,0.028742081502847263,0.3418333333333333,1556.0
