bytes_per_client_round,class_gap_proxy,config_anchor_normalize,config_anchor_size,config_bandwidth,config_class_sep,config_classical_bandwidth,config_classical_sketch_dim,config_common_policy,config_cov_boost,config_data_structure,config_dataset,config_dataset_path,config_depol_p,config_depol_std,config_dirichlet_alpha,config_hop_dim,config_hop_weight,config_n_classes,config_n_test,config_n_train,config_obs_per_client,config_observable_overlap,config_observables,config_participation,config_readout_p,config_readout_std,config_seed,config_shot_noise_scale,config_shots,config_sketch_dim,config_wrong_shift,distortion_proxy,elapsed_sec,final_acc,final_balanced_acc,method,run
1044,0.4243143522046248,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,1.835679054260254,0.38845833333333335,0.38960368389033573,qproto_proto,anchor128_seed1
1428,0.4243143522046248,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,1.8516826629638672,0.41195833333333337,0.41411582160032934,qproto_hop,anchor128_seed1
1432,0.40195811765924727,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.0,1.5833406448364258,0.41033333333333327,0.4128246498938178,qproto_full,anchor128_seed1
1044,0.3555274161111545,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.2976764168130717,1.064948558807373,0.43112500000000004,0.42911651334913425,no_schema,anchor128_seed1
1428,0.37012968879500274,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,1,1.0,"32,64,128,256,1024",64,,0.11324642754030263,1.626659870147705,0.3724583333333334,0.3749229193498186,wrong_schema,anchor128_seed1
1044,0.4346622921726961,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,1.6802163124084473,0.40004166666666674,0.40449105209947184,qproto_proto,anchor128_seed2
1428,0.4346622921726961,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,1.8046977519989014,0.46729166666666666,0.470600958981832,qproto_hop,anchor128_seed2
1432,0.4237426480753766,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.0,1.6379427909851074,0.472375,0.4763244745407415,qproto_full,anchor128_seed2
1044,0.4216790538258022,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.392215320144264,1.227372407913208,0.4265416666666667,0.4260803402990523,no_schema,anchor128_seed2
1428,0.4391885392751611,True,128,5.0,2.2,5.0,64,,2.5,mean,synthetic,,0.02,0.01,0.25,24,0.12,4,1200,3000,24,0.35,64,0.4,0.03,0.015,2,1.0,"32,64,128,256,1024",64,,0.11309821192567816,1.8391156196594238,0.4498333333333333,0.4488341312149455,wrong_schema,anchor128_seed2
